UniqueID,Title,Author,PTime,DTime,MentionSourceName,MentionIdentifier,Content
GS8FYEYDDB_ASEUEC36PRV0K44,Ram Mandir's Korean connection: How an Ayodhya princess binds the two nations,ET Online,"Last Updated: Jan 21, 2024, 02:13:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/ram-mandirs-korean-connection-how-an-ayodhya-princess-binds-the-two-nations/articleshow/107027541.cms,
GU7086TDR0_1X7EQ2REUBAMX8H,Rahul Gandhi gets off bus to meet BJP workers. Here's what happened next,ET Online,"Last Updated: Jan 21, 2024, 07:40:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/rahul-gandhi-gets-off-bus-to-meet-bjp-workers-heres-what-happened-next/articleshow/107031905.cms,
HPURWAAK4A_7U73CZ0YRS12F31,"'Scared' BJP attacking Congress Nyay Yatra in Assam, says Mallikarjun Kharge",PTI,"Last Updated: Jan 21, 2024, 08:22:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/scared-bjp-attacking-congress-nyay-yatra-in-assam-says-mallikarjun-kharge/articleshow/107033094.cms,
I64M50H7QF_BUA1JB5GY0R8TBC,"Only zero-emission cars can help tackle air pollution, reduce oil imports: Tata Motors",PTI,"Last Updated: Jan 21, 2024, 10:47:00 AM IST",20230121,indiatimes.com,https://economictimes.indiatimes.com/industry/renewables/only-zero-emission-cars-can-help-tackle-air-pollution-reduce-oil-imports-tata-motors/articleshow/107024457.cms,
II04ZTM4MO_Y39V32HNS5G9Z8G,"Make consecration of Ram temple in Ayodhya a historic day, MP CM Yadav urges people",PTI,"Last Updated: Jan 21, 2024, 05:08:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/make-consecration-of-ram-temple-in-ayodhya-a-historic-day-mp-cm-yadav-urges-people/articleshow/107030540.cms,
J8A9USXRPS_1ARP779W2PFQY1F,20 Million devotees in next 6 months: UP govt goes full throttle to handle pilgrim footfall in Ayodhya,_,"Last Updated: Jan 21, 2024, 06:41:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/20-million-devotees-in-next-6-months-up-govt-goes-full-throttle-to-handle-pilgrim-footfall-in-ayodhya/articleshow/107021225.cms,
JWP7A3CWER_G5NDIHCQLIG6BQL,Delhi is hit by freezing temperatures as dense fog disrupts flight and train travel,ET Online,"Last Updated: Jan 21, 2024, 09:04:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/delhi-is-hit-by-freezing-temperatures-as-dense-fog-disrupts-flight-and-train-travel/articleshow/107023126.cms,
K6EXUGXKQD_NX23R3VJH8UHXO1,Bilkis Bano case: All 11 convicts surrender at Godhra sub jail,ET Online,"Last Updated: Jan 22, 2024, 12:21:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/bilkis-bano-case-all-11-convicts-surrender-at-godhra-sub-jail/articleshow/107035223.cms,
KBZQ596NL3_P632G4ZCBFI975J,"On-ground campaigns to screening, corporate houses join Ram Temple consecration fervour",PTI,"Last Updated: Jan 21, 2024, 02:00:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/on-ground-campaigns-to-screening-corporate-houses-join-ram-temple-consecration-fervour/articleshow/107027588.cms,
L3R7IUDA04_Y0RB30IT8GZU9DZ,"Lok Sabha polls could be held in Andhra Pradesh, Telangana in first week of April: Union Minister Kishan Reddy",PTI,"Last Updated: Jan 21, 2024, 06:08:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/lok-sabha-polls-could-be-held-in-andhra-pradesh-telangana-in-first-week-of-april-union-minister-kishan-reddy/articleshow/107031441.cms,
L93BBJP837_88P7MEZTPD2X1NF,Ram Mandir Inauguration bank holiday: Are all banks closed today?,_,"Last Updated: Jan 22, 2024, 12:51:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/wealth/save/ram-mandir-inauguration-bank-holiday-are-all-banks-closed-on-january-22/articleshow/106991135.cms,
LMNU54JPUA_0XRKSRIFK2XGTOP,Indian Americans in Boston celebrate Ram Mandir inauguration and Republic Day,PTI,"Last Updated: Jan 21, 2024, 09:05:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/nri/latest-updates/indian-americans-in-boston-celebrate-ram-mandir-inauguration-and-republic-day/articleshow/107033532.cms,
LN6XYL7554_WEJWF8NSLBKY6UI,Ram temple consecration celebrations: Ten lakh diyas to be lit in Ayodhya,PTI,"Last Updated: Jan 21, 2024, 02:26:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/ram-temple-consecration-celebrations-ten-lakh-diyas-to-be-lit-in-ayodhya/articleshow/107027976.cms,
LO31HDWFM0_IQDNHFUD3RJEN8Q,"In Memoriam: On Sushant Singh Rajput’s 38th birth anniversary, sister Shweta & ex-flame Rhea Chakraborty pay tribute",ET Online,"Last Updated: Jan 21, 2024, 11:47:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/magazines/panache/in-memoriam-on-sushant-singh-rajputs-38th-birth-anniversary-sister-shweta-ex-flame-rhea-chakraborty-pay-tribute/articleshow/107025399.cms,
NCXJOMCD8D_HBMPQFX33649JR5,"P&G to recast ops to get more agile, speed up growth",ET Bureau,"Last Updated: Jan 22, 2024, 03:28:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/industry/cons-products/fmcg/pg-to-recast-ops-to-get-more-agile-speed-up-growth/articleshow/107035522.cms,
NLZBYTIWWO_15IPRXUYK33HWUF,Ram Mandir Inauguration: Elaborate security measures in Ayodhya ahead of 'Pran Pratishtha',ET Online,"Last Updated: Jan 21, 2024, 03:20:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/ayodhya-goes-under-thick-security-blanket-ahead-of-pran-pratishtha/articleshow/107027772.cms,
O5JE3HJTMZ_8L8KJVFXNMPQI7N,Samagra Shikshana signs MoU with Transform Schools to scale Marusinchana programme in Karnataka,ET Online,"Last Updated: Jan 21, 2024, 12:05:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/industry/services/education/samagra-shikshana-signs-mou-with-transform-schools-to-scale-marusinchana-programme-in-karnataka/articleshow/107025731.cms,
O7QDVJB2I3_ZA9NMHWQ0Y0STCR,Ayodhya's ancient past has a modern connection — renewable energy,ET Online,"Last Updated: Jan 22, 2024, 11:57:00 AM IST",20230121,indiatimes.com,https://economictimes.indiatimes.com/industry/renewables/ayodhyas-ancient-past-has-a-modern-connection-renewable-energy/articleshow/107032677.cms,
OP7DES05WM_N91HPFJALIA48OO,"Big Banks’ Q3 Net Up on Higher Other Income, Dip in Provisions",ET Bureau,"Last Updated: Jan 21, 2024, 03:52:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/jan/21/sunet-front/big-banks-q3-net-up-on-higher-other-income-dip-in-provisions/articleshow/107018931.cms,
OP801EYSEE_0AKB25VKV5ZL6M9,"Hamas says October 7 attacks 'necessary step', admits 'faults'",AFP,"Last Updated: Jan 21, 2024, 10:10:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/international/world-news/hamas-says-october-7-attacks-necessary-step-admits-faults/articleshow/107034152.cms,
P6FED97V4C_COUNWTJ6JUFNO13,Rahul to visit Assamese icon Sankardeva's birthplace on Jan 22 as scheduled: Congress,PTI,"Last Updated: Jan 21, 2024, 03:01:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/rahul-to-visit-assamese-icon-sankardevas-birthplace-on-jan-22-as-scheduled-congress/articleshow/107028555.cms,
PNB7TZTKM6_PLEE3JWE5VNZOBD,North Korea stresses alignment with Russia against US and says Putin could visit at an 'early date',AP,"Last Updated: Jan 21, 2024, 09:46:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/defence/north-korea-stresses-alignment-with-russia-against-us-and-says-putin-could-visit-at-an-early-date/articleshow/107023552.cms,
QEB59QD4JO_FSQI2124HL3ZYA6,Mizoram govt has taken strong exception to HM Amit SHah's statement on Indo-Myanmar border: CM Lalduhoma,ET Bureau,"Last Updated: Jan 21, 2024, 10:50:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/mizoram-govt-has-taken-strong-exception-to-hm-amit-shahs-statement-on-indo-myanmar-border-cm-lalduhoma/articleshow/107024499.cms,
QRRVJYXDG7_143GMV8NRLAXYZW,"IDFC First's 5-year plan: Grow assets at 20%, deposits at 25%",ET Bureau,"Last Updated: Jan 21, 2024, 11:51:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/industry/banking/finance/banking/idfc-firsts-5-year-plan-grow-assets-at-20-deposits-at-25/articleshow/107035040.cms,
R9ZTISYJPL_G0DXPTFHXQ35D9S,Ram Mandir Inauguration: PM Modi begins 'pran pratishtha'; here's the complete 5-hour Ayodhya itinerary,ET Online,"Last Updated: Jan 22, 2024, 12:25:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/countdown-to-ram-mandir-inauguration-unveiling-pm-modis-5-hour-ayodhya-itinerary/articleshow/107026677.cms,
RWIHBFUSX7_E4OGKS1BEGLMVOS,Ram Mandir Inauguration Holiday: Bombay HC rejects law students' appeal against Jan 22 holiday for Ram Temple ceremony,ET Online,"Last Updated: Jan 21, 2024, 01:15:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/ram-mandir-inauguration-holiday-bombay-hc-rejects-law-students-appeal-against-jan-22-holiday-for-ram-temple-ceremony/articleshow/107024383.cms,
RX70VU0XJ9_IAF8I49VIOOLTYB,MC wants BRS Nagar road to be made commercial area,_,_,20240121,indiatimes.com,https://timesofindia.indiatimes.com/city/ludhiana/mc-wants-brs-nagar-road-to-be-made-commercial-area/articleshow/107022710.cms,
S8NPK9PSGV_RBQX7Q8O99ZK4U6,"Iran-backed militants launch ballistic missiles at US airbase in Iraq, several injured",ANI,"Last Updated: Jan 22, 2024, 01:02:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/defence/iran-backed-militants-launch-ballistic-missiles-at-us-airbase-in-iraq-several-injured/articleshow/107022399.cms,
SZKXYHJVFE_STX2JIB699WZPAJ,"Spectacular car rally, Tesla light show dedicated to Lord Ram enthrals Bay Area residents in California",PTI,"Last Updated: Jan 21, 2024, 05:20:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/international/world-news/spectacular-car-rally-tesla-light-show-dedicated-to-lord-ram-enthrals-bay-area-residents-in-california/articleshow/107030693.cms,
U45PY2MPFV_H8B4X1D7JF7B6G8,India Inc lauds establishment of gender equity Alliance at WEF,PTI,"Last Updated: Jan 21, 2024, 01:00:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/company/corporate-trends/india-inc-lauds-establishment-of-gender-equity-alliance-at-wef/articleshow/107026640.cms,
V8YJ2KFFD2_PMOLID2RZ0PHWXN,ED questions CM Soren for 7 hours in land scam case,_,_,20240121,indiatimes.com,https://timesofindia.indiatimes.com/city/ranchi/ed-questions-cm-soren-for-7-hours-in-land-scam-case/articleshow/107018703.cms,
W4Y3T66HRK_XCUKJFRIZASS3VU,"Delhi: AIIMS, RML hospital declare half-day on January 22, critical clinical services to remain functional",ANI,"Last Updated: Jan 21, 2024, 07:39:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/delhi-aiims-rml-hospital-declare-half-day-on-january-22-critical-clinical-services-to-remain-functional/articleshow/107021623.cms,
WE1U20R8OL_YRA8LUFM0DUOUBW,Indian community in Taiwan organises 'Keertan-Bhajan' on eve of Ram Mandir's Pran Pratishtha,ANI,"Last Updated: Jan 21, 2024, 07:01:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/indian-community-in-taiwan-organises-keertan-bhajan-on-eve-of-ram-mandirs-pran-pratishtha/articleshow/107032184.cms,
WPPNEWBA19_IXYFU51EDZJ6OZS,Ram temple consecration: Himachal CM announces public holiday on Jan 22,PTI,"Last Updated: Jan 21, 2024, 02:53:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/ram-temple-consecration-himachal-cm-announces-public-holiday-on-jan-22/articleshow/107028415.cms,
XBG4VNB4FG_E7D28G7F5SRK3JX,Omnipresent Sri Ram,ET CONTRIBUTORS,"Last Updated: Jan 21, 2024, 11:46:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/opinion/speaking-tree/omnipresent-sri-ram/articleshow/107034983.cms,
XGTZUGFYKK_E6A72T4RBZGVK75,"Cold wave grips Delhi: Flights, trains delayed as dense fog blankets national capital",_,_,20240121,indiatimes.com,https://timesofindia.indiatimes.com/city/delhi/cold-wave-grips-delhi-flights-trains-delayed-as-dense-fog-blankets-national-capital/articleshow/107023114.cms,
XU5DEWSJ16_D1ZSWPX5JBY43EY,Fire breaks out at Russian gas terminal near St Petersburg,_,_,20240121,indiatimes.com,https://timesofindia.indiatimes.com/world/europe/fire-breaks-out-at-russian-gas-terminal-near-st-petersburg/articleshow/107022493.cms,
Y9CHP9JABU_GRGMKC64P3HFME8,Can Donald Trump be stopped? That and more key questions heading into the New Hampshire primary,AP,"Last Updated: Jan 21, 2024, 07:34:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/international/world-news/can-donald-trump-be-stopped-that-and-more-key-questions-heading-into-the-new-hampshire-primary/articleshow/107032524.cms,
YDOWPQG6OL_7KMR5IM8HO6UNK6,"BJP, RSS plan live telecast of Ram Mandir consecration ceremony",ET Bureau,"Last Updated: Jan 22, 2024, 12:51:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/elections/lok-sabha/india/bjp-rss-plan-live-telecast-of-ram-mandir-consecration-ceremony/articleshow/107035175.cms,
YDWYVPX3RK_ETNRBFDC5G17VVR,Request government for protectionist measures in Budget; remove duty on raw materials: Abhyuday Jindal,PTI,"Last Updated: Jan 21, 2024, 11:11:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/industry/indl-goods/svs/steel/request-government-for-protectionist-measures-in-budget-remove-duty-on-raw-materials-abhyuday-jindal/articleshow/107024718.cms,
YY5XWH4BMR_CCENO8V4HPAS60Y,Assam CM urges Rahul not to visit Assamese icon Sankardeva's birthplace during Ram Temple consecration,PTI,"Last Updated: Jan 21, 2024, 12:09:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/assam-cm-urges-rahul-not-to-visit-assamese-icon-sankardevas-birthplace-during-ram-temple-consecration/articleshow/107025354.cms,
ZII7BNM2OZ_WPYEEKLCFP9HOTK,Chances to reach consensus on WTO dispute settlement body reforms 'low' in next meet: GTRI,PTI,"Last Updated: Jan 21, 2024, 01:58:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/economy/foreign-trade/chances-to-reach-consensus-on-wto-dispute-settlement-body-reforms-low-in-next-meet-gtri/articleshow/107027568.cms,
ZIWY0HN63L_874OULKZD2913T7,Ram Mandir Inauguration: Meat ban announced in these states; Here is the list,ET Online,"Last Updated: Jan 21, 2024, 12:30:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/ram-mandir-meat-ban-enforced-across-states-as-india-gears-up-for-ayodhya-ram-temple-inauguration/articleshow/107025064.cms,
ZSF8L1VOZI_39T8YV0F8IQSWJ3,DDA releases over Rs 460 crores to more than 2300 bidders in a record time,ANI,"Last Updated: Jan 21, 2024, 09:27:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/dda-releases-over-rs-460-crores-to-more-than-2300-bidders-in-a-record-time/articleshow/107033804.cms,
