UniqueID,Keyword
A6LEPTA5MN_SFH9XNHOWNBJ9FH,'Boeing|Ryanair|engineers|quality checks|Alaska Airlines incident|Boeing 737 Max 9|Max 8 variant|Max 10s|Michael O'Leary|delivery delays|quality control|US factories|Seattle|Wichita|David Calhoun|production practices|Federal Aviation Administration (FAA)|Stan Deal|emergency landing|flight control system|Kirkland H. Donald|independent advisor|quality control systems|commercial aircraft|recommendations|safety record
BP3F1HBNVD_FOKDFQYMAE9JW2O,Prosecutors|British brothers|Switzerland|ban|punishment|museum|Chinese Ming Dynasty artefacts|Geneva|Stewart and Louis Ahearne|gang|burglary|Museum of Far Eastern Art|Marco Rossier|jail|Daniel Kelly|reconnaissance|Renault Captur|Hong Kong auction house|Metropolitan Police|undercover sting operation|art buyers|Swiss francs|damage|Loris Bertoliatti|power saw|sledgehammer|crowbar|Nicola Barry|Suzanne Ahearne|extradition|Patrick Monney|judgement|debt|Ming vase raid
FL3EI1FVUL_CEHUW23BYMXKT9H,'Doctors from the UK' | 'central Gaza Strip' | 'Israeli military' | 'Hamas' | 'Deborah Harrington' | 'al-Aqsa Martyrs Hospital' | 'Medical Aid for Palestinians (MAP)' | 'Nick Maynard' | 'Israel Defense Forces (IDF)' | 'International Rescue Committee (IRC)' | 'World Health Organization (WHO)' | 'Dr Tedros Adhanom Ghebreyesus' | 'Palestine Red Crescent Society (PRCS)' | 'Sean Casey' | 'neo-natal unit' | 'traumatic injuries' | 'Hamas-run health ministry' | 'Gaza hospitals' | 'air strikes'
FZ3KFZZI8Y_27OE7RUFNBUCAPN,Comoros President | Azali Assoumani | re-elected | fourth term | fraudulent | electoral body Ceni | opposition boycott | presidential election | security forces | protesters | ballot stuffing | Indian Ocean archipelago | International poll observers | election commission | gubernatorial elections | World Bank | presidential term limits | African Union | France's migrant 'cemetery' in Africa
FZBZ75W2ZS_1HR1QNNO9WERAXZ,'Asda' | 'Tesco' | 'Sainsbury's' | 'Morrisons' | 'Iceland' | 'Aptamil baby formula' | 'Danone' | 'baby milk range' | 'Competition and Markets Authority (CMA)' | 'baby formula milk' | 'breastfeeding' | 'price reduction' | 'Kris Comerford' | 'cost of living crisis' | 'Aldi'
QJ316K2IQ9_G26P679O9PL32PE,Namibia|colonial ruler|Germany|UN|genocide|Gaza|Israel|South Africa|International Court of Justice|ICJ|The Hague|President Hage Geingob|Berlin|Herero and Nama people|United Nations Convention|Hamas|Holocaust|self defence|humanitarian organisations|famine|disease|displaced people|aid|Israeli response|Palestinians|Pretoria|Palestinian civilians|destruction|Gaza's infrastructure|BBC World Service - Focus on Africa
UWPBLHZ252_2VLNQ2R380V6WVX,'Taiwan' | 'Beijing' | 'diplomatic allies' | 'Nauru' | 'Micronesian island' | 'China' | 'election results' | 'pro-sovereignty candidate' | 'William Lai' | 'Taiwanese independence' | 'Tien Chung-kwang' | 'financial aid' | 'one-China principle' | 'Chinese mainland' | 'Anna Powles' | 'Mihai Sora'
W7VU6ANF0U_FNUY3VO94SQWM4Y,Japan Airlines|woman president|Mitsuko Tottori|flight attendant|senior leadership positions|Yuji Akasaka|Yoshiharu Ueki|chairman|Tokyo's Haneda Airport|plane crash|safety|cabin crew|aviation|FlightGlobal|Marjan Rintel|KLM|Annette Mann|Austrian Airlines|Lynne Embleton|Aer Lingus|Joanna Geraghty|JetBlue Airways|Japanese companies|gender-neutral greetings|OECD|management positions|economic co-operation|human resources
WPGIATAFFS_FXGMFX4TIPX7EWM,Middle East|Iran|Pakistan|Israel-Gaza war|missile arsenal|Vali Nasr|Johns Hopkins University|Gaza war|Hamas|Hezbollah|United States|axis of resistance|Tehran-backed groups|Islamic Revolutionary Guards Corps|Israel's Mossad spy agency|Islamic State|Syria|Baloch separatists|Seyed Mohammad Marandi|University of Tehran|Sistan and Balochistan|Sayyed Razi Mousavi|Israeli air strike|Qasem Soleimani|American drone|Mohammad Ali Shabani|Amwaj media|international sanctions|Arab League|Hina Rabbani Khar|India|Taliban-run Afghanistan|Israel|Robin Wright|Woodrow Wilson International Centre for Scholars|Houthi|Red Sea|Sanam Vakil|Chatham House|America.
X5KCFF9WH0_5DLG0TSF147TGP7,Russian missiles | hotel | Ukraine | Kharkiv | injured | Turkish journalists | S-300 missiles | air strikes | Ukrainian cities | drones | President Vladimir Putin | invasion | Ihor Terekhov | Belgorod | Volodymyr Zelensky | Lithuania | air defence weapons | Baltic nation | Nato alliance | military aid | Interfax-Ukraine | Russian Federation | EU aid package | Nato Secretary General Jens Stoltenberg | North Korea | Iran
ZQ9HNPSXCN_0B9S2W5YLC7MQO1,British brothers | museum raid | Switzerland | Chinese Ming dynasty artefacts | Museum of Far Eastern Art | Geneva | 14th Century vases | Stewart and Louis Ahearne | theft | trespass | damage to property | extradition | UK | Home Secretary | Hong Kong | auction house | reconnaissance | burglary | debt | Renault Captur car | Avis | Geneva Airport | Champ-Dollon prison | extradition | Ming vase raid
0X6R5WI92U_GN1APLKPT5SGM4Q,"'Pakistan', 'Iranian airstrike', 'airspace violation', 'retaliation', 'Jaish al-Adl', 'Koh-e-Sabz', 'Balochistan province', 'Tasnim news agency', 'Middle East conflict', 'Foreign Ministry', 'sovereignty breach', 'United Nations', 'Mumtaz Baloch', 'China', 'India', 'terrorism', 'Revolutionary Guards', 'Sistan and Baluchistan', 'national security', 'World Economic Forum', 'Mossad', 'Israeli attacks', 'Qasem Soleimani', 'full-scale war', 'United States', 'UN Security Council', 'Hamas', 'Gaza', 'Houthis', 'Yemen', 'Red Sea', 'Hezbollah', 'Lebanon border'"
0ZIHR5ORGZ_44HSC1FLW0EF61J,'Taiwan' | 'Democratic Progressive Party' | 'presidential victory' | 'China' | 'conflict' | 'Lai Ching-te' | 'vice president' | 'election' | 'democracy' | 'Hsiao Bi-khim' | 'Vice President' | 'votes' | 'Kuomintang (KMT) party' | 'Taiwan People’s Party (TPP)' | 'Xi Jinping' | 'sovereign nation' | 'reunification' | 'one-China principle' | 'Taiwan independence' | 'national reunification' | 'Antony Blinken' | 'Tsai Ing-wen' | 'Taiwan Strait' | 'Chinese Communist Party' | 'cross-strait confrontation' | 'US' | 'Kuomintang' | 'Beijing' | 'economic and military pressure' | 'war'
14ZRV2ZC90_EOLF5A63STEG9DC,US | UK | militaries | strikes | Houthi targets | Yemen | Biden administration | Iran-backed militant group | commercial shipping | Red Sea | President Joe Biden | international maritime vessels | United Kingdom | Australia | Bahrain | Canada | Netherlands | freedom of navigation | British Prime Minister Rishi Sunak | self-defense | US Air Forces Central Commander Lt. Gen. Alex Grynkewich | Iranian-backed Houthi militant locations | Middle East | Israel-Hamas war | fighter jets | Tomahawk missiles | USS Florida | guided missile submarine | Red Sea | Houthi rebels | civil war | Saudi Arabia | Palestinian people | Israel | Gaza | humanitarian crisis | famine | economic turmoil | extreme poverty | United Nations Development Programme | airstrikes | Secretary of Defense Lloyd Austin | Pentagon | Hodeidah | Antony Blinken | United Nations Security Council | Council on Foreign Relations | Saudi Arabia | truce | Iranian proxy group | US Navy | global economy | free flow of commerce | Islamic Revolutionary Guard Corps.
17K8IEPLS1_8F66NP9A6FKJ13I,'Taiwan' | 'China' | 'diplomatic ally' | 'presidential election' | 'Beijing' | 'democratic achievements' | 'Pacific Island nation' | 'Nauru' | 'Foreign Ministry' | 'Lai Ching-te' | 'Democratic Progressive Party' | 'Communist Party' | 'Tien Chung-kwang' | 'one-China principle' | 'United Nations'
1C4RMZH9MP_KH93DCN9AWYAEYF,South Africa|Israel|genocide|United Nations|International Court of Justice|Gaza|Palestinians|Hamas|Vaughan Lowe|Eylon Levy|Isaac Herzog|Genocide Convention|Adila Hassim|apartheid|International Criminal Court|Organization of Islamic Cooperation|Antony Blinken|Tembeka Ngcukaitobi|Max du Plessis|Human Rights Watch|Israeli Foreign Ministry|Benjamin Netanyahu|Antoinette Radford
21FF1OOTFD_XEHADIGC0POUFHO,error...
2403PTJM0V_A3VE1V3E10NCWL8,China's economy | 5.2% growth | 2023 | official target | Beijing | Premier Li Qiang | World Economic Forum | Davos | Switzerland | annual GDP figures | economic performance | pandemic years | real estate crisis | youth unemployment | deflation | ageing population | international economists | stock markets | CSI 300 index | Hong Kong's Hang Seng | MSCI World index | international investors | middle-income group | urbanization | rural Chinese | urban transportation | telecommunications infrastructure | operating environment | foreign direct investment | Swiss President Viola Amherd | free-trade agreement | President Xi | United States | President Joe Biden | foreign investment
268A0MLSMT_MNK311BE1LVJI98,error...
2PFJXEGSJY_ULGM9WWX9O33QTU,"""Former senior US officials"" | ""rock solid"" | ""American support"" | ""Taiwan"" | ""China"" | ""Lai Ching-te"" | ""Taiwan’s sovereignty and democracy"" | ""Democratic Progressive Party (DPP)"" | ""Biden administration"" | ""President Tsai Ing-wen"" | ""Stephen Hadley"" | ""James Steinberg"" | ""US bipartisan support"" | ""Vice President-elect Hsiao Bi-khim"" | ""Antony Blinken"" | ""one-China principle"" | ""Taiwan independence"" | ""Xi Jinping"" | ""Beijing"" | ""Taipei"" | ""US President Joe Biden"""
4P369YGVUH_3U3A7CJ35G6PTCT,'Moving to a foreign country' | 'Katie Meyer' | 'global hospitality communications professional' | 'California' | 'relocated to Portugal' | 'Covid-19 pandemic' | 'Cascais' | 'Lisbon' | 'remote work' | 'relocation to Europe' | 'Mediterranean climate' | 'Portugal’s laid-back vibe' | 'permanent residency and citizenship' | 'Portuguese capital' | 'golden visa' | 'real estate purchase' | 'visa-free travel' | 'Europe’s Schengen Area' | 'Portuguese citizenship' | 'Cascais’ strong sense of community' | 'Portuguese way' | 'affordable cost of living in Portugal' | 'living abroad' | 'homesick' | 'US visitors'
6IA7G22N98_2RSYHECX5NK7EI9,Lai Ching-te|doctor|poor mining family|politics|military crisis|Taiwan Strait|political veteran|China’s Communist Party|Democratic Progressive Party|Taiwan’s president|Beijing|Taiwan’s sovereignty|Xi Jinping|diplomatic pressure|economic pressure|military pressure|Taiwan’s coast|presidential election|authoritarian rule|Tainan|legislator|mayor|premier|vice president|Tsai Ing-wen|eight-year curse|democracy|Kuomintang|White Terror|civil war|Communist forces|cross-strait confrontation|Taiwan independence|sovereign country|term limits|separatist|National Taiwan University|Hsiao Bi-khim|Taiwan People’s Party|legislation|unification|authoritarian regime
7I4YAECXPV_HR4ABQ0MJRRKE4V,Atlas Air|cargo flight|emergency landing|engine failure|Federal Aviation Administration|FlightAware|engine fire|air traffic recordings|FAA incident report|Boeing 747|post flight inspection|Miami|Melanie Adaros|Miami International Airport|National Transportation Safety Board|NTSB investigation|Boeing 747-8|CNN|Ross Levitt
8KN4L5WGN9_K97Q645HXL4W19A,'Americans visiting China|visa process|Chinese tourist visa|US citizens|powerful passport|visa-free scheme|Civil Aviation Administration of China|nonstop flights|Sam Fleischmann|education consultant|six-day visa-free transit policy|China opening up|visa-free program|Chinese Foreign Ministry|WeChat Pay|Alipay|non-Chinese credit cards|bank accounts|US State Department|reconsider travel|Covid lockdowns|Hong Kong University|tourism professor|Benjamin Iaquinto|geopolitical tensions|US-China relations'
8RTKDEDCVO_J2Q84SIA5EILVY7,'Americans visiting China|visa process|Chinese tourist visa|US citizens|powerful passport|visa-free scheme|Civil Aviation Administration of China|nonstop flights|Sam Fleischmann|education consultant|six-day visa-free transit policy|China opening up|visa-free program|Chinese Foreign Ministry|WeChat Pay|Alipay|non-Chinese credit cards|US State Department|reconsider travel|Covid lockdowns|Hong Kong University|tourism professor|Benjamin Iaquinto|geopolitical tensions|US-China relations'
9UQ7NIQ72P_06RUXB5C0QWL8LX,error...
ASJW0H5GNM_JK90WYFI3Y3E668,"'Somalia’s president', 'Istanbul courtroom', 'motorcycle courier', 'collision', 'Hassan Sheikh Mohamud', 'reckless killing', 'Yunus Emre Gocer', 'Turkish state broadcaster', 'TRT Haber', 'Turkish penal code', 'driver’s license', 'Iyaz Cimen', 'Yemeni defense minister', 'Turkish police', 'black BMW', 'diplomatic plates', 'Ekrem Imamoglu', 'Somali consulate', 'Justice Minister Yilmaz Tunc', 'Musaeed Ahmed Musaeed Hussein', 'Pakize Ozer'"
BZ2HTE72ZO_8OP5WJD951G3T5H,Atlas Air|cargo flight|emergency landing|engine failure|Federal Aviation Administration|FlightAware|engine fire|air traffic recordings|FAA incident report|Boeing 747|post flight inspection|Miami|Melanie Adaros|Miami International Airport|National Transportation Safety Board|NTSB investigation|Boeing 747-8|FAA data|CNN|Ross Levitt
CPNVYOB5Q4_7NZ75MXVB9GE3Z2,"""senior US officials"" | ""support for Taiwan"" | ""China"" | ""Lai Ching-te"" | ""Taiwan’s sovereignty and democracy"" | ""Democratic Progressive Party (DPP)"" | ""Biden administration"" | ""President Tsai Ing-wen"" | ""Stephen Hadley"" | ""American commitment to Taiwan"" | ""James Steinberg"" | ""US bipartisan support"" | ""Vice President-elect Hsiao Bi-khim"" | ""US Secretary of State Antony Blinken"" | ""Beijing"" | ""one-China principle"" | ""Taiwan independence"" | ""Japanese Foreign Minister Yoko Kamikawa"" | ""Xi Jinping"" | ""Taipei"" | ""US President Joe Biden"""
E1QK67DZSP_9LFEJ8EHFOMBCG9,error...
E2Y4SM61K4_0KMSBYGVFPE9C8Q,"""Former senior US officials"" | ""rock solid"" | ""American support"" | ""Taiwan"" | ""China"" | ""new president"" | ""Lai Ching-te"" | ""Taiwan’s sovereignty and democracy"" | ""Democratic Progressive Party (DPP)"" | ""Biden administration"" | ""Stephen Hadley"" | ""American commitment to Taiwan"" | ""James Steinberg"" | ""US bipartisan support"" | ""Antony Blinken"""
FY9FVZQY0B_EZR5OKEQL42U4TF,'Pakistan' | 'Iran' | 'strikes' | 'escalation' | 'hostilities' | 'Middle East' | 'Balochistan province' | 'Sistan and Baluchestan province' | 'militants' | 'Baloch region' | 'separatist enemy' | 'Israeli forces' | 'war in Gaza' | 'Sunni militant group Jaish al-Adl' | 'Army of Justice' | 'nuclear-armed' | 'Sunni' | 'Shia' | 'precision military strikes' | 'Foreign Ministry' | 'separatist fighters' | 'safe havens' | 'sanctuaries' | 'Israel’s bombardment of Gaza' | 'regional conflict' | 'United States' | 'ballistic missiles' | 'Iraq' | 'Syria' | 'spy base' | 'anti-Iran terror groups' | 'Hezbollah' | 'Lebanon border' | 'Houthi rebels' | 'Yemen' | 'Red Sea' | 'revenge' | 'Israel’s assault on Gaza' | 'Carnegie Endowment for International Peace' | 'regional instability' | 'power vacuums' | 'American influence' | 'Middle East' | 'Baloch people' | 'Afghanistan' | 'insurgencies' | 'natural resources' | 'Baloch separatists' | 'Balochistan' | 'insurgency' | 'separatists' | 'independence' | 'mineral resources' | 'Kurdish' | 'Arab' | 'Baloch minorities' | 'Jaish al-Adl' | 'Jundallah' | 'foreign terrorist organization' | 'US State Department' | 'Iranian security personnel' | 'government officials' | 'Shia civilians' | 'National Counterterrorism Center' | 'Iranian military' | 'diplomatic spat' | 'ambassador' | 'high-level visits' | 'military exercise' | 'air force' | 'naval forces' | 'ground forces' | 'Turkey’s foreign minister' | 'India' | 'terrorism' | 'China' | 'European Union' | 'US State Department' | 'conflict' | 'separatist groups' | 'joint solutions'
GEO3DUH0CZ_NA4STEQ83X7AEE7,'South Africa' | 'Israel' | 'genocide' | 'United Nations’ top court' | 'Palestinians in Gaza' | 'International Court of Justice (ICJ)' | 'Hamas' | 'Vaughan Lowe' | 'Eylon Levy' | 'Isaac Herzog' | '1948 Genocide Convention' | 'The Hague' | 'Netherlands' | 'Adila Hassim' | 'Antony Blinken'
H099GBH0II_FSPMF2F1I1WPI6T,migrant surge|US-Mexico border|asylum-seekers|Biden administration|Texas|US Border Patrol|Department of Homeland Security|Ken Paxton|unconstitutional|Rio Grande|Eagle Pass|Shelby Park|entering the state illegally|Supreme Court|Mexican migrants|Texas Military Department|border security|immigration policy|Eddie Morales Jr.|Maverick County Sheriff Tom Schmerber|Anti-Defamation League|Louisiana|Jeff Landry|illegal immigration|public funds|criminal offense|undocumented immigrants|CNN
HYWMZUN1N4_L8K6ZDJAMQ2EA69,'Moving to a foreign country' | 'Katie Meyer' | 'global hospitality communications professional' | 'California' | 'relocated to Portugal' | 'Covid-19 pandemic' | 'Cascais' | 'Lisbon' | 'remote work' | 'relocation to Europe' | 'Mediterranean climate' | 'Portugal’s laid-back vibe' | 'permanent residency and citizenship' | 'Portuguese capital' | 'golden visa' | 'real estate purchase' | 'visa-free travel' | 'Europe’s Schengen Area' | 'Portuguese citizenship' | 'Cascais’ strong sense of community' | 'Portuguese way' | 'affordable cost of living in Portugal' | 'living abroad' | 'homesick' | 'US visitors'
I6T2J5CGAM_T7VEYAF7C524L66,'Moving to a foreign country' | 'Katie Meyer' | 'global hospitality communications professional' | 'California' | 'relocated to Portugal' | 'Covid-19 pandemic' | 'Cascais' | 'Lisbon' | 'remote work' | 'relocation to Europe' | 'Mediterranean climate' | 'Portugal’s laid-back vibe' | 'permanent residency and citizenship' | 'Portuguese capital' | 'golden visa' | 'real estate purchase' | 'visa-free travel' | 'Europe’s Schengen Area' | 'Portuguese citizenship' | 'Cascais’ strong sense of community' | 'Portuguese way' | 'affordable cost of living in Portugal' | 'living abroad' | 'homesick' | 'US visitors'
IDGDS5UGJ2_1E2SFTW1Y1JDF87,Taiwan | China | diplomatic ally | presidential election | Beijing | democratic achievements | Pacific Island | Nauru | Foreign Ministry | Lai Ching-te | vice president | sovereignty | Democratic Progressive Party | Communist Party | diplomatic pressure | Tien Chung-kwang | embassy | economic assistance | one-China principle | Republic of Nauru | Republic of China | US delegation | Washington | unofficial ties | Western nations | trade offices | United Nations | international bodies
II1D0SNEKJ_4PRKPTS8REGA89M,error...
J7JMFCAOC4_JT9OB5U4EWR96UJ,'Taiwan' | 'China' | 'diplomatic ally' | 'presidential election' | 'Beijing' | 'democratic achievements' | 'Pacific Island nation' | 'Nauru' | 'Foreign Ministry' | 'Lai Ching-te' | 'Democratic Progressive Party' | 'Communist Party' | 'Tien Chung-kwang' | 'one-China principle' | 'United Nations'
K8EBKZ83AO_MO01V1CS6BX42FL,'Lai Ching-te' | 'Taiwan Strait' | 'military crisis' | 'China’s Communist Party' | 'Democratic Progressive Party' | 'Taiwan’s president' | 'Beijing' | 'Taiwan’s sovereignty' | 'Xi Jinping' | 'missile crisis' | 'Wall Street Journal' | 'Tsai Ing-wen' | 'eight-year curse' | 'Taiwan politics' | 'White Terror'
